cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2016-1000111,twisted,Medium,False,,0.00694,0.71832,no,,,,,,,,410bfc44d6d425a1d818154211e7eff4a58c9b4c,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,3.1
CVE-2016-2533,pillow,High,False,,0.02195,0.84344,no,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,https://github.com/python-pillow/Pillow/commit/5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/commit/ae453aa18b66af54e7ff716f4ccb33adca60afd4#diff-8ff6909c159597e22288ad818938fd6b | https://github.com/python-pillow/Pillow/pull/1706,,,,5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9 | ae453aa18b66af54e7ff716f4ccb33adca60afd4,6.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-3076,pillow,High,False,,0.00457,0.639,no,,,,,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.0
CVE-2016-4009,pillow,Critical,False,,0.05263,0.8995,no,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,https://github.com/python-pillow/Pillow/commit/4e0d9b0b9740d258ade40cce248c93777362ac1e | https://github.com/python-pillow/Pillow/pull/1714,,,,4e0d9b0b9740d258ade40cce248c93777362ac1e,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2016-9189,pillow,Medium,False,,0.00358,0.57998,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,https://github.com/python-pillow/Pillow/pull/2146/commits/c50ebe6459a131a1ea8ca531f10da616d3ceaa0f,,,,,5.5,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.0
CVE-2016-9190,pillow,High,False,,0.00566,0.68407,no,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,https://github.com/python-pillow/Pillow/pull/2146/commits/5d8a0be45aad78c5a22c8d099118ee26ef8144af,,,,,7.8,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.0
CVE-2017-5992,openpyxl,Medium,False,,0.00528,0.6711,no,,,,,,,,3b4905f428e1,8.2,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:H,3.0
CVE-2019-12387,twisted,Medium,False,,0.00521,0.66807,no,,https://github.com/twisted/twisted/commit/6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2,,https://github.com/twisted/twisted/commit/6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2,,,,c0776850e756adfcdc179a7fd9e4c8f5cbc4838d | 6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2019-12855,twisted,Critical,False,,0.00646,0.70663,no,,https://github.com/twisted/twisted/pull/1147,,https://github.com/twisted/twisted/pull/1147,,,,,7.4,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,3.0
CVE-2019-16865,pillow,High,False,,0.03942,0.88298,no,,,,,,,,8a30d135378dc6a1c3c08fa4bb9fbc15370feedf,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2019-19911,pillow,High,False,,0.00965,0.76511,no,,,,,,,,a45c8583ff90312a2fddc38567ed736cef4af563,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2020-10108,twisted,Critical,False,,0.03411,0.87392,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-10109,twisted,Critical,False,,0.03518,0.87595,no,,,,,,,,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-10177,pillow,High,False,,0.00319,0.54962,no,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/pull/4503 | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2020-10378,pillow,High,False,,0.00319,0.54942,no,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/commit/6a83e4324738bb0452fbe8074a995b1c73f08de7#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7 | 6a83e4324738bb0452fbe8074a995b1c73f08de7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2020-10379,pillow,High,False,,0.0036,0.58185,no,,https://github.com/python-pillow/Pillow/commit/46f4a349b88915787fea3fb91348bb1665831bbb#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/commit/46f4a349b88915787fea3fb91348bb1665831bbb#diff-9478f2787e3ae9668a15123b165c23ac | https://github.com/python-pillow/Pillow/pull/4538,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7 | 46f4a349b88915787fea3fb91348bb1665831bbb,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-10994,pillow,High,False,,0.00424,0.62115,no,,https://github.com/python-pillow/Pillow/pull/4505 | https://github.com/python-pillow/Pillow/pull/4538 | https://github.com/python-pillow/Pillow/commits/master/src/libImaging/,,https://github.com/python-pillow/Pillow/pull/4505 | https://github.com/python-pillow/Pillow/pull/4538 | https://github.com/python-pillow/Pillow/commits/master/src/libImaging/,,,,f0fe60ae9f930faeda2f0c22f602bed1f8a0f1c7,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2020-11538,pillow,Critical,False,,0.00267,0.50145,no,,https://github.com/python-pillow/Pillow/pull/4504 | https://github.com/python-pillow/Pillow/pull/4538,,https://github.com/python-pillow/Pillow/pull/4504 | https://github.com/python-pillow/Pillow/pull/4538,,,,,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-28364,locust,Medium,False,,0.00359,0.58083,no,,,,,,,,,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-35653,pillow,High,False,,0.00293,0.52581,no,,,,,,,,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,3.1
CVE-2020-35654,pillow,High,False,,0.00199,0.42049,no,,,,,,,,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-35655,pillow,Medium,False,,0.00269,0.50375,no,,,,,,,636dc62f0e8f9b233f1f2b287292b45325df135d,fcc42e0d344146ee9d265d1f43c094ce5a0ec4cf,5.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:L,3.1
CVE-2020-35678,autobahn,Medium,False,,0.00294,0.52649,no,,https://github.com/crossbario/autobahn-python/pull/1439,,https://github.com/crossbario/autobahn-python/pull/1439,,,,3960cbaa017a7a3b582b52e0d043c1d9f2bf0d1b,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2020-5310,pillow,Critical,False,,0.00611,0.69745,no,,https://github.com/python-pillow/Pillow/commit/4e2def2539ec13e53a82e06c4b3daf00454100c4,,https://github.com/python-pillow/Pillow/commit/4e2def2539ec13e53a82e06c4b3daf00454100c4,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | 4e2def2539ec13e53a82e06c4b3daf00454100c4,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1
CVE-2020-5311,pillow,Critical,False,,0.01304,0.79712,no,,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,,https://github.com/python-pillow/Pillow/commit/a79b65c47c7dc6fe623aadf09aa6192fc54548f3,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | a79b65c47c7dc6fe623aadf09aa6192fc54548f3,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-5312,pillow,Critical,False,,0.0173,0.82394,no,,https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd,,https://github.com/python-pillow/Pillow/commit/93b22b846e0269ee9594ff71a72bec02d2bea8fd,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | 93b22b846e0269ee9594ff71a72bec02d2bea8fd,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2020-5313,pillow,High,False,,0.00551,0.67938,no,,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b,,https://github.com/python-pillow/Pillow/commit/a09acd0decd8a87ccce939d5ff65dab59e7d365b,,,,a45c8583ff90312a2fddc38567ed736cef4af563 | a09acd0decd8a87ccce939d5ff65dab59e7d365b,7.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,3.1
CVE-2021-23437,pillow,High,False,,0.00226,0.45394,no,,https://github.com/python-pillow/Pillow/commit/9e08eb8f78fdfd2f476e1b20b7cf38683754866b,,https://github.com/python-pillow/Pillow/commit/9e08eb8f78fdfd2f476e1b20b7cf38683754866b,,,c28bf86b7e752a9257a0d4451ca878c1385db15c,8013f130a5077b238a4346b73e149432b180a8ea | 9e08eb8f78fdfd2f476e1b20b7cf38683754866b,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25287,pillow,High,False,,0.00343,0.56963,no,,,,,,,,e0e353c0ef7516979a9aedce3792596649ce4433,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,3.1
CVE-2021-25288,pillow,High,False,,0.00267,0.50171,no,,,,,,,,e0e353c0ef7516979a9aedce3792596649ce4433,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,3.1
CVE-2021-25289,pillow,Critical,False,,0.00206,0.4299,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2021-25290,pillow,High,False,,0.00143,0.34653,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25291,pillow,High,False,,0.00536,0.67434,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2021-25292,pillow,Medium,False,,0.00147,0.35224,no,,,,,,,,741d8744a54bedbc49f16922c61a06fcb3681f53,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
