cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2012-2374,tornado,High,False,,0.00329,0.55884,no,,,,,,,,,5,AV:N/AC:L/Au:N/C:N/I:P/A:N,2.0
CVE-2014-9720,tornado,High,False,,0.00904,0.75655,no,,https://github.com/tornadoweb/tornado/commit/1c36307463b1e8affae100bf9386948e6c1b2308,,https://github.com/tornadoweb/tornado/commit/1c36307463b1e8affae100bf9386948e6c1b2308,,,,,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,3.1
CVE-2023-28370,tornado,Medium,False,,0.00528,0.67121,no,,,,,,,,34f5c1cf2696afec5532ca9e870ba32cbc7fee27,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2023-28858,redis,Medium,False,,0.01488,0.80988,no,,https://github.com/redis/redis-py/pull/2641,,https://github.com/redis/redis-py/pull/2641,,,ef4caf5b8bd55fc5c3ca7d994e2047e046f7e942 | 6fa6cfc9ada2ec1878484ba44a02fdc3c0c691d5 | 5cb5712d283fa8fb300abc9d71a61c1a81de5643,7b48b1bb34f97e4adf32c12a987ff593dc536aef | b3c89acd0ffe8303649ad8207bc911b1d6a033eb | 66a4d6b2a493dd3a20cc299ab5fef3c14baad965,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2023-28859,redis,High,False,,0.00378,0.59341,no,,https://github.com/redis/redis-py/pull/2641,,https://github.com/redis/redis-py/pull/2641,,,ef4caf5b8bd55fc5c3ca7d994e2047e046f7e942 | 5cb5712d283fa8fb300abc9d71a61c1a81de5643,49d9cb751c7c30546fc86d11f8168d7aa007edae | e1017fd77afd2f56dca90f986fc82e398e518a26,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,3.1
CVE-2024-52804,tornado,High,False,,0.00118,0.3082,no,,https://github.com/tornadoweb/tornado/commit/d5ba4a1695fbf7c6a3e54313262639b198291533,,https://github.com/tornadoweb/tornado/commit/d5ba4a1695fbf7c6a3e54313262639b198291533,,GHSA-7pwv-g7hj-39pr,,a5ecfab15e52202a46d34638aad93cddca86d87b,,,
CVE-2025-47287,tornado,High,False,,0.01164,0.78571,no,,https://github.com/tornadoweb/tornado/commit/b39b892bf78fe8fea01dd45199aa88307e7162f3,,https://github.com/tornadoweb/tornado/commit/b39b892bf78fe8fea01dd45199aa88307e7162f3,,,,ab5f35431242f95a5ef0a2ac228e54e89ab511f0,,,
CVE-2026-31958,tornado,High,False,,0.0003,0.08419,no,,,,,,,,7d6465056ceb7a054b3f64cf1c18271753b10482,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
