cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2026-1526,undici,High,False,,0.00018,0.04784,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1527,undici,Medium,False,,9e-05,0.00946,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-1528,undici,High,False,,0.00128,0.32332,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-21884,@remix-run/react,High,False,,0.00018,0.04472,no,,,,,,,e8e3b004d94a949372e77ce97a543bff5bc6fb89,,,,
CVE-2026-22036,undici,Medium,False,,0.0002,0.05386,no,,https://github.com/nodejs/undici/commit/b04e3cbb569c1596f86c108e9b52c79d8475dcb3,,https://github.com/nodejs/undici/commit/b04e3cbb569c1596f86c108e9b52c79d8475dcb3,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,fbc31e21d7e1dffea61166ab7a827f74b6483d26 | 7e5cb2d7468633b48679627061d696a0bb45f651,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-2229,undici,High,False,,0.00186,0.40468,no,,,,,,,1cfe0949053aac6267f11b919cee9315a27f1fd6,8873c947271faf1ebc455bdc6158ecbc022ecfa9 | 07a39067a0485c1953196f500d945fe09378a176,,,
CVE-2026-22610,@angular/compiler,High,False,,0.00016,0.03649,no,,https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56 | https://github.com/angular/angular/pull/66318,,https://github.com/angular/angular/commit/91dc91bae4a1bbefc58bef6ef739d0e02ab44d56 | https://github.com/angular/angular/pull/66318,,,4c0ba06532a96409ad05a3e88367a93d36e54647 | a0ee6bdfe4102357dd231bcf02f5ff4d44fb585c | ab2ee22c3d1a80b7ffe2c74c988dbd2503305b70,6ad2ef6bd8694e95a15ef7a16d9eb34fae360733 | 8fd585cc0b4a7fc70ecb306c0c7b17f15393d0bf | f76d891b8b69a5a966e9b2dd207ac39dd846bda3 | 33eeec55638d990a17ede31adcd95e1eef85d098,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2026-22817,hono,High,False,,0.00017,0.04203,no,,https://github.com/honojs/hono/commit/cc0aa7ae327ed84cc391d29086dec2a3e44e7a1f,,https://github.com/honojs/hono/commit/cc0aa7ae327ed84cc391d29086dec2a3e44e7a1f,,,,28452f06319ef12df94b826450f36486e286565d,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2026-22818,hono,High,False,,0.00017,0.04203,no,,https://github.com/honojs/hono/commit/190f6e28e2ca85ce3d1f2f54db1310f5f3eab134,,https://github.com/honojs/hono/commit/190f6e28e2ca85ce3d1f2f54db1310f5f3eab134,,,,28452f06319ef12df94b826450f36486e286565d,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2026-23745,tar,High,False,,7e-05,0.00523,no,,https://github.com/isaacs/node-tar/commit/340eb285b6d986e91969a1170d7fe9b0face405e,,https://github.com/isaacs/node-tar/commit/340eb285b6d986e91969a1170d7fe9b0face405e,,,,03138441b238f48070fb22824b2529c445bc70c7,6.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N,3.1
CVE-2026-2391,qs,Low,False,,0.00058,0.18462,no,,https://github.com/ljharb/qs/commit/f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,,https://github.com/ljharb/qs/commit/f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,,,125e103b61f2bef245970f5a2a8dceffe5aab59a,bdcf0c7f82387c18ac8fabfccd2f440645cef47b | f6a7abff1f13d644db9b05fe4f2c98ada6bf8482,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-23950,tar,High,False,,8e-05,0.00667,no,,https://github.com/isaacs/node-tar/commit/3b1abfae650056edfabcbe0a0df5954d390521e6,,https://github.com/isaacs/node-tar/commit/3b1abfae650056edfabcbe0a0df5954d390521e6,,,,911c886bb170a6ee3db05fd3709221752213ec8a,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2026-24001,diff,Low,False,,0.0002,0.05197,no,,https://github.com/kpdecker/jsdiff/commit/15a1585230748c8ae6f8274c202e0c87309142f5 | https://github.com/kpdecker/jsdiff/pull/649,,https://github.com/kpdecker/jsdiff/commit/15a1585230748c8ae6f8274c202e0c87309142f5 | https://github.com/kpdecker/jsdiff/pull/649,,,e80648d06dd3dd967622dc418bcad821b003ed4a | d358a573dc38fb89dd5ee296805e29f75c932a58 | 84d12ca26ae06631ac70151d75b919d78638c060,13576bfbcc444ce48f71cfd1e08529bd13962411 | b7b6339dea15baa636bebe7092ec1cbabf001dea | f06f3e4cacad5955caf891a8a02c5bb1c954bcb5 | e8bb42240c6adbbcdad7754f37b094081c9e7112,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2026-24116,wasmtime,Medium,False,,7e-05,0.00604,no,,https://github.com/bytecodealliance/wasmtime/commit/728fa07184f8da2a046f48ef9b61f869dce133a6 | https://github.com/bytecodealliance/wasmtime/commit/799585fc362fcb991de147dd1a9f2ba0861ed440 | https://github.com/bytecodealliance/wasmtime/commit/ac92d9bb729ad3a6d93f0724c4c33a0c4a9c0227,,https://github.com/bytecodealliance/wasmtime/commit/728fa07184f8da2a046f48ef9b61f869dce133a6 | https://github.com/bytecodealliance/wasmtime/commit/799585fc362fcb991de147dd1a9f2ba0861ed440 | https://github.com/bytecodealliance/wasmtime/commit/ac92d9bb729ad3a6d93f0724c4c33a0c4a9c0227,,,545407736534daa9cbe3bdb8829ef5744429d5c8 | 7b3d6ae79e9153a2477668062f5622c10333925f,06ef14387760e52371fb68d4b30baf22fd576075 | 390241fbf9736f3698f07cf0b0add73b752fe66c,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,3.1
CVE-2026-24398,hono,Medium,False,,0.00013,0.02286,no,,https://github.com/honojs/hono/commit/edbf6eea8e6c26a3937518d4ed91d8666edeec37,,https://github.com/honojs/hono/commit/edbf6eea8e6c26a3937518d4ed91d8666edeec37,,,,f7d272abe1644e50ab5fe9cb53f5965c35d77226,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,3.1
CVE-2026-24472,hono,Medium,False,,0.00014,0.0244,no,,https://github.com/honojs/hono/commit/12c511745b3f1e7a3f863a23ce5f921c7fa805d1,,https://github.com/honojs/hono/commit/12c511745b3f1e7a3f863a23ce5f921c7fa805d1,,,,f7d272abe1644e50ab5fe9cb53f5965c35d77226,,,
CVE-2026-24473,hono,Medium,False,,0.00014,0.0244,no,,https://github.com/honojs/hono/commit/cf9a78db4d0a19b117aee399cbe9d3a6d9bfd817,,https://github.com/honojs/hono/commit/cf9a78db4d0a19b117aee399cbe9d3a6d9bfd817,,,,f7d272abe1644e50ab5fe9cb53f5965c35d77226,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1
CVE-2026-24771,hono,Medium,False,,0.00044,0.13668,no,,https://github.com/honojs/hono/commit/2cf60046d730df9fd0aba85178f3ecfe8212d990,,https://github.com/honojs/hono/commit/2cf60046d730df9fd0aba85178f3ecfe8212d990,,,,f7d272abe1644e50ab5fe9cb53f5965c35d77226,4.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N,3.1
CVE-2026-24842,tar,High,False,,0.00018,0.04653,no,,https://github.com/isaacs/node-tar/commit/f4a7aa9bc3d717c987fdf1480ff7a64e87ffdb46,,https://github.com/isaacs/node-tar/commit/f4a7aa9bc3d717c987fdf1480ff7a64e87ffdb46,,,,4a37eb9a1cf1137df4eb70c5c7f849f412ff3cdb,,,
CVE-2026-25541,bytes,Medium,False,,0.00019,0.04803,no,,https://github.com/tokio-rs/bytes/commit/d0293b0e35838123c51ca5dfdf468ecafee4398f,,https://github.com/tokio-rs/bytes/commit/d0293b0e35838123c51ca5dfdf468ecafee4398f,,,b7249149a926f0d5f9f89897853eb7dc7506d27b,417dccdeff249e0c011327de7d92e0d6fbe7cc43,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
