cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2023-44487,golang.org/x/net,Medium,True,2023-10-10,0.94385,0.99971,no,,https://github.com/nghttp2/nghttp2/pull/1961 | https://github.com/microsoft/CBL-Mariner/pull/6381 | https://github.com/apache/trafficserver/pull/10564 | https://github.com/linkerd/website/pull/1695/commits/4b9c6836471bc8270ab48aae6fd2181bc73fd632 | https://github.com/envoyproxy/envoy/pull/30055 | https://github.com/netty/netty/commit/58f75f665aa81a8cbcf6ffa74820042a285c5e61 | https://github.com/kazu-yamamoto/http2/commit/f61d41a502bd0f60eb24e1ce14edc7b6df6722a1 | https://github.com/grpc/grpc-go/pull/6703,,https://github.com/nghttp2/nghttp2/pull/1961 | https://github.com/microsoft/CBL-Mariner/pull/6381 | https://github.com/apache/trafficserver/pull/10564 | https://github.com/linkerd/website/pull/1695/commits/4b9c6836471bc8270ab48aae6fd2181bc73fd632 | https://github.com/envoyproxy/envoy/pull/30055 | https://github.com/netty/netty/commit/58f75f665aa81a8cbcf6ffa74820042a285c5e61 | https://github.com/kazu-yamamoto/http2/commit/f61d41a502bd0f60eb24e1ce14edc7b6df6722a1 | https://github.com/grpc/grpc-go/pull/6703,,GHSA-qppj-fm5r-hxr3 | GHSA-vx74-f528-fxqg | GHSA-xpw8-rcwv-8f8p,3bd4b8a9566a8de9ecd730b50552b580ba3fe4c2 | 24d1ec762e4bee402cc98b5ca57a08531f3c0b51 | e37b977db6f47e4380ad67114a49e8568951c953 | 16bf392c67833ad549733b58c350ff92b5ee782a | b310e3566f58dd04ec2b15b111ec86ea70e20019 | b14030656330ed623cd1f9efe2f4f9abd9d16e29 | ee849590a02cc5cd61eff18aa64bf985ec45124d | 63772e2191a750dd3cafa75914cacdb038c7520c,7e11c65e70778a3c6757dab45b56e579c539050b | 4298fb738cff7fd7679a9b415f569e7728dae566 | 4317e7187c28af82fe94ab09b37d5f5fbca7fff4 | 1a3b131141fed9468d9da1167c7fcb37902935ed | df3dbfbb8344844fdf4f9a2b3d8aebe3793bfc56 | 1a6238dbb383b68833499b4425342900e8fd6abd | 7d430ba73e5b5915970a89f0b9f4bbbfc86e7960 | 796ffd3a329b4b1f2ec0dd51158e62c94914c4ca,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.1
CVE-2023-45288,golang.org/x/net,Medium,False,,0.71463,0.98715,no,,,,,,,,,,,
CVE-2023-48795,golang.org/x/crypto,Medium,False,,0.5673,0.98114,no,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,https://github.com/connectbot/sshlib/commit/5c8b534f6e97db7ac0e0e579331213aa25c173ab | https://github.com/jtesta/ssh-audit/commit/8e972c5e94b460379fe0c7d20209c16df81538a5 | https://github.com/openssh/openssh-portable/commits/master | https://github.com/TeraTermProject/teraterm/commit/7279fbd6ef4d0c8bdd6a90af4ada2899d786eec0 | https://github.com/golang/crypto/commit/9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d | https://github.com/mscdex/ssh2/commit/97b223f8891b96d6fc054df5ab1d5a1a545da2a3 | https://github.com/libssh2/libssh2/pull/1291 | https://git.libssh.org/projects/libssh.git/commit/?h=stable-0.10&id=10e09e273f69e149389b3e0e5d44b8c221c2e7f6,,GHSA-45x7-px36-x8w8,7a8d04dbcb388a5d837a213ad249c1b96e19e998 | 583cba31eb09c14abd0b217fe7ac2e9a60425d51 | 4ed7957623e5ccbd420a09a506bd6bc9930fe93c | 8c0ea6bd3306cfd6ca19730d180a2a93a716e1ee | 79a1bc918ffd2e81b5bd39cfdf87dfc81390fbb5,dca6a021b5889d3723845694132c9d8dd3f8d348 | 891c1b1e7313268f85fbfbf1c7e58d401dc370f8 | 5c8b534f6e97db7ac0e0e579331213aa25c173ab | df84c42e7e8a1675769fa9065b2781a6abc8ab1b | a6a92f0d69b8cf5e72e38ffa5e693057aa2dc776 | 106609456818d9983c932db2cdbaaad8577b98f9 | 60c60ff27b37b34b79218aef0ceb92f68e54f83f | 85be379c3f1c0021ccb8d6ae9eb69f4e6712a150,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,3.1
CVE-2024-24786,google.golang.org/protobuf,Medium,False,,0.00322,0.55266,no,,,,,,,,,,,
CVE-2024-28180,gopkg.in/square/go-jose.v2,Medium,False,,0.04859,0.89513,no,,https://github.com/go-jose/go-jose/commit/0dd4dd541c665fb292d664f77604ba694726f298 | https://github.com/go-jose/go-jose/commit/add6a284ea0f844fd6628cba637be5451fe4b28a | https://github.com/go-jose/go-jose/commit/f4c051a0653d78199a053892f7619ebf96339502,,https://github.com/go-jose/go-jose/commit/0dd4dd541c665fb292d664f77604ba694726f298 | https://github.com/go-jose/go-jose/commit/add6a284ea0f844fd6628cba637be5451fe4b28a | https://github.com/go-jose/go-jose/commit/f4c051a0653d78199a053892f7619ebf96339502,,,,0dd4dd541c665fb292d664f77604ba694726f298 | add6a284ea0f844fd6628cba637be5451fe4b28a | f4c051a0653d78199a053892f7619ebf96339502,,,
CVE-2024-45337,golang.org/x/crypto,Critical,False,,0.30296,0.9666,no,,https://github.com/golang/crypto/commit/b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,https://github.com/golang/crypto/commit/b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,,,b4f1988a35dee11ec3e05d6bf3e90b695fbd8909,,,
CVE-2024-45339,github.com/golang/glog,Medium,False,,0.00079,0.23476,no,,https://github.com/golang/glog/pull/74,,https://github.com/golang/glog/pull/74,,,,,,,
CVE-2025-22869,golang.org/x/crypto,High,False,,0.00215,0.44011,no,,,,,,,,,,,
CVE-2025-22870,golang.org/x/net,Medium,False,,0.00026,0.07105,no,,,,,,,,,,,
CVE-2025-22872,golang.org/x/net,Medium,False,,0.00129,0.32425,no,,,,,,,,,,,
