cve,package,severity,kev,kev_date_added,epss,epss_percentile,exploitdb,exploitdb_ids,commit_links,patch_links,fix_commits,repo_urls,ghsa_ids,introduced_versions,fixed_versions,cvss_base,cvss_vector,cvss_version
CVE-2019-14893,jackson-databind,High,False,,0.00956,0.7638,no,,,,,,,81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ba9ac61920a4391568f4959e399a25833eae9cf6 | 5b33f88541a25999e1c43ca2eda1aeacacd6d13d,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-15542,ammonia,High,False,,0.00366,0.58526,no,,,,,,,,bb7d7be9b28f4c955555b958be12b887350347b0,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.0
CVE-2019-15551,smallvec,Critical,False,,0.00425,0.62165,no,,,,,,,04e3c4ed3024f3197fad18051a30c7ac1e5c5470,830d32bbdb7dc858d1f81d662fe6dd06219f0647,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2019-15554,smallvec,Critical,False,,0.0042,0.61911,no,,,,,,,fcb1b7e99a2a98d928983af78a494ef566cbde8b,830d32bbdb7dc858d1f81d662fe6dd06219f0647,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.0
CVE-2019-16335,jackson-databind,Critical,False,,0.00651,0.70804,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | ba9ac61920a4391568f4959e399a25833eae9cf6 | 5b33f88541a25999e1c43ca2eda1aeacacd6d13d,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-16942,jackson-databind,Critical,False,,0.00415,0.61583,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | ba9ac61920a4391568f4959e399a25833eae9cf6 | db82f32714c083da3c31267352f0dcc65fd371f5,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-16943,jackson-databind,Critical,False,,0.01841,0.82907,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | ba9ac61920a4391568f4959e399a25833eae9cf6 | db82f32714c083da3c31267352f0dcc65fd371f5,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-17267,jackson-databind,Critical,False,,0.01195,0.7883,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ba9ac61920a4391568f4959e399a25833eae9cf6 | 5b33f88541a25999e1c43ca2eda1aeacacd6d13d,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-17531,jackson-databind,Critical,False,,0.0119,0.7878,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 50791cc7856376949287e0be3e96147665ab8f68 | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8,ec1adf8c72625fd51b30105afad7464c4332d542 | ba9ac61920a4391568f4959e399a25833eae9cf6 | db82f32714c083da3c31267352f0dcc65fd371f5,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-17571,log4j,Critical,False,,0.37542,0.97166,no,,,,,,,,32f9cd7d5ce73cc0f29c7e66ce5adc0e6640d222,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-19844,django,Critical,False,,0.13973,0.94298,no,,,,,,,2a62cdcfec85938f40abb2e9e6a9ff497e02afe8,358973a12eb3105ba084a2d594428a19223b8582 | c494d90c195a739a7298b073eaa6ed987c2fd0bc,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-20330,jackson-databind,Critical,False,,0.01863,0.83006,no,,,,,,,e8df0987e3034d102ee6d704d30a05a2e3ac7089 | 81929fad84189ce59ef82e7a6d0df795eb0c7cdb | e969f0a31b781f5dfb74e16ddd5ee4b4fa36e8d8 | a5807c566af27b184731dd4eb7dfcc420962db32,e8697cdbf415028b171f9b7698f3308eda00a3c7 | ba9ac61920a4391568f4959e399a25833eae9cf6 | f78b6ec284cea3f3f57e8ea21a969b3735679905,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
CVE-2019-20477,pyyaml,Critical,False,,0.00467,0.64381,no,,,,,,,e471e86bf6dabdad45a1438c20a4a5c033eb9034,,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1
