Repo,File One,File Two,Left Count,Right Count,Common Count,Jaccard Score
three.js,syft_home_jason_SBOM EVal and Validation_repos_javascript_three.js_package.json.json,sbom_mrdoob_three.js.json,1,310,0,0.0
three.js,syft_home_jason_SBOM EVal and Validation_repos_javascript_three.js_package.json.json,three.js.spdx.json,1,288,0,0.0
three.js,sbom_mrdoob_three.js.json,three.js.spdx.json,35,13,275,0.8513931888544891
vue,vue.spdx.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_compiler-sfc_package.json.json,924,1,0,0.0
vue,vue.spdx.json,sbom_vuejs_vue.json,30,79,894,0.8913260219341974
vue,vue.spdx.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_package.json.json,924,1,0,0.0
vue,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_compiler-sfc_package.json.json,sbom_vuejs_vue.json,1,973,0,0.0
vue,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_compiler-sfc_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_package.json.json,1,1,0,0.0
vue,sbom_vuejs_vue.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_vue_package.json.json,973,1,0,0.0
eslint-plugin-graphql,apollographql_eslint-plugin-graphql_14f152.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_eslint-plugin-graphql_package.json.json,568,1,0,0.0
eslint-plugin-graphql,apollographql_eslint-plugin-graphql_14f152.json,eslint-plugin-graphql.spdx.json,8,16,560,0.958904109589041
eslint-plugin-graphql,syft_home_jason_SBOM EVal and Validation_repos_javascript_eslint-plugin-graphql_package.json.json,eslint-plugin-graphql.spdx.json,1,576,0,0.0
javascript,syft_home_jason_SBOM EVal and Validation_repos_javascript_javascript_package.json.json,javascript.spdx.json,0,0,0,1
javascript,syft_home_jason_SBOM EVal and Validation_repos_javascript_javascript_package.json.json,sbom_airbnb_javascript.json,0,0,0,1
javascript,javascript.spdx.json,sbom_airbnb_javascript.json,0,0,0,1
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-shared_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus_package.json.json,1,1,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-shared_package.json.json,GitNexus.spdx.json,1,210,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-shared_package.json.json,abhigyanpatwari_GitNexus_6798a6.json,1,1322,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-shared_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_package.json.json,1,1,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-shared_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-web_package.json.json,1,1,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus_package.json.json,GitNexus.spdx.json,1,210,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus_package.json.json,abhigyanpatwari_GitNexus_6798a6.json,1,1322,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_package.json.json,1,1,0,0.0
GitNexus,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus_package.json.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_gitnexus-web_package.json.json,1,1,0,0.0
GitNexus,GitNexus.spdx.json,abhigyanpatwari_GitNexus_6798a6.json,10,1122,200,0.15015015015015015
GitNexus,GitNexus.spdx.json,syft_home_jason_SBOM EVal and Validation_repos_javascript_GitNexus_package.json.json,210,1,0,0.0
